price,sentiment
27977.543490700005,-0.5
27991.261470727324,-0.5
28018.263813642363,-0.5
28031.083435007025,-0.5
28088.344154516606,-0.5
27941.92298575307,-0.5
27950.417711989663,-0.5
27910.307222168412,-0.5
27922.817290402683,-0.5
27918.183840966572,-0.5
27920.63263879015,-0.5
27838.539286459865,-0.5
27831.66156449875,-0.5
27834.03341170247,-0.5
27945.573583737674,-0.5
27938.916346723378,-0.5
27907.122197042805,-0.5
27925.396851235255,-0.5
27890.631604658025,-0.5
27876.307273823193,-0.5
27902.96253787604,-0.5
27924.562097939088,-0.5
27976.4021826868,-0.5
27919.889110632826,-0.5
27948.10365174851,0.8333333333333334
27841.982877887764,0.8333333333333334
27984.53805572639,0.8333333333333334
27956.367599384863,0.8333333333333334
27940.268226458327,0.8333333333333334
27945.412331761243,0.8333333333333334
27871.811818805272,0.8333333333333334
27921.657949143835,0.8333333333333334
27843.34062675791,0.8333333333333334
27752.810045457743,0.8333333333333334
27556.74411716421,0.8333333333333334
27542.403193736372,0.8333333333333334
27502.801112830097,0.8333333333333334
27477.190872892766,0.8333333333333334
27489.23855019311,0.8333333333333334
27486.740612263195,0.8333333333333334
27453.06304817622,0.8333333333333334
27354.09084225846,0.8333333333333334
27559.128308514988,0.8333333333333334
27572.180546705335,0.8333333333333334
27591.706658325187,0.8333333333333334
27573.027758649736,0.8333333333333334
27615.671048556298,0.8333333333333334
27600.1025698656,0.8333333333333334
27593.782534439666,0.75
27571.567985797705,0.75
27611.436747140113,0.75
27710.146587078358,0.75
27636.303091005208,0.75
27598.071725636022,0.75
27609.302251256828,0.75
27660.99451194319,0.75
27656.898901443343,0.75
27677.881446981675,0.75
27661.691949007287,0.75
27633.558104025575,0.75
27555.45416110842,0.75
27459.682235694843,0.75
27388.105989378175,0.75
27461.663275495994,0.75
27435.691802347716,0.75
27476.34616279916,0.75
27382.816290914565,0.75
27303.143762531436,0.75
27393.220734339226,0.75
27398.76882334203,0.75
27452.602014430508,0.75
27453.037553654438,0.75
27392.247702732497,0.7857142857142857
27461.472926157647,0.7857142857142857
27433.905574327717,0.7857142857142857
27151.18796617716,0.7857142857142857
27023.346113858555,0.7857142857142857
27133.927296610043,0.7857142857142857
27099.309393041272,0.7857142857142857
27070.961853932353,0.7857142857142857
27050.58956036679,0.7857142857142857
27091.825435691575,0.7857142857142857
27246.92567767454,0.7857142857142857
27267.090378202716,0.7857142857142857
27200.90759681216,0.7857142857142857
27167.994395067362,0.7857142857142857
27153.939800999113,0.7857142857142857
27110.16947195278,0.7857142857142857
26836.396715304458,0.7857142857142857
26655.469046498078,0.7857142857142857
26634.191751329097,0.7857142857142857
26697.636089323183,0.7857142857142857
26779.7722099829,0.7857142857142857
26696.835596364646,0.7857142857142857
